Waterbody,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ALSEA R & BAY,16,19,11,809,505,1421,3176,1066,32,38,41,-
N FK ALSEA,-,-,-,-,-,-,10,30,6,6,-,-
S FK ALSEA,-,-,-,-,-,-,-,12,-,-,-,-
APPLEGATE R,-,-,-,-,-,-,10,47,6,-,-,-
BEAVER CR (LINC CO),-,12,-,-,-,53,200,59,-,13,-,-
BEAVER CR (TILL CO),16,4,-,-,8,4,5,18,6,38,-,-
BIG CR (LANE CO),-,-,-,-,-,-,5,12,13,-,-,-
BIG ELK CR (YAQUINA R),-,-,-,-,-,-,-,6,19,13,-,-
BRUSH CR (CURRY CO),-,-,-,-,-,-,15,-,-,-,10,-
CAPE CR,-,-,-,-,-,-,-,6,-,-,-,-
CHETCO R & BAY,16,8,11,7,17,9,40,41,6,6,10,-
COOK CR (NEHALEM R),-,-,-,-,-,-,-,6,13,-,-,-
COOS R & BAY,39,1213,46,1321,980,715,3572,2250,78,50,112,-
S FK COOS,-,-,-,-,-,31,35,41,-,-,-,-
COQUILLE R & BAY,16,1405,966,502,630,901,2014,1249,13,38,20,-
N FK COQUILLE,-,-,-,-,-,-,-,6,-,-,-,-
E FK COQUILLE,-,-,-,-,-,-,-,6,6,-,-,-
S FK COQUILLE,-,4,-,3,-,4,10,12,-,13,-,-
MID FK COQUILLE,-,-,-,-,-,-,-,12,-,-,-,-
CUMMINS CR,-,-,-,-,-,-,-,-,-,-,-,-
DEVILS LK,-,-,-,-,-,-,-,6,-,-,-,-
DEADWOOD CR (SIUSLAW R),-,-,-,-,-,-,-,6,-,-,-,-
DRIFT CR (ALSEA R),-,-,-,-,-,-,-,24,-,-,-,-
DRIFT CR (SILETZ R),-,-,-,-,-,-,-,6,-,-,-,-
EEL CR & LAKE,-,-,-,-,-,-,-,-,-,-,-,-
ELK CR (CLATSOP CO),-,-,-,-,-,-,-,-,-,-,-,-
ELK R,8,8,-,10,-,13,10,41,6,-,-,-
EUCHRE CR,-,-,-,-,-,-,-,-,-,-,-,-
FALL CR (ALSEA R),-,-,-,-,-,-,-,-,-,-,-,-
FIVE R (ALSEA R),-,-,-,-,-,-,-,12,-,-,-,-
FLORAS CR & LK,-,-,-,-,-,-,5,24,-,-,-,-
COW CREEK,-,-,-,-,-,-,-,-,-,-,-,-
FOURMILE CR (COOS CO),-,-,-,-,-,-,-,-,-,-,-,-
HUNTER CR,-,-,-,-,-,-,-,-,-,-,-,-
ILLINOIS R,-,-,-,-,-,-,-,-,-,-,-,-
INDIAN CR (SIUSLAW R),-,-,-,-,-,-,-,-,-,-,-,-
KILCHIS R,-,-,-,-,-,-,5,-,13,6,-,-
LAKE CR (SIUSLAW R),-,-,-,-,-,4,5,-,-,-,-,-
LOBSTER CR (ALSEA R),-,-,-,-,-,-,-,-,-,-,-,-
MIAMI R,-,-,-,-,-,-,-,-,-,-,-,-
MIDDLE CR (COQUILLE R),-,-,-,-,-,-,-,6,-,-,-,-
MILLICOMA R,-,4,-,14,13,67,60,12,6,-,-,-
E FK MILLICOMA,-,-,-,-,-,-,5,18,-,-,-,-
W FK MILLICOMA,-,-,-,-,-,-,10,6,-,-,-,-
NECANICUM R,-,-,-,-,-,4,-,24,13,-,20,-
26/ELSIE,215,952,124,1475,659,795,4784,829,1006,410,143,-
N FK NEHALEM,63,46,127,66,4,258,506,65,363,151,20,-
MUNSEL L,-,-,-,-,-,-,-,-,6,-,-,-
NESTUCCA R & BAY,12,15,11,338,46,80,571,142,104,50,41,-
LITTLE NESTUCCA,-,-,-,-,-,-,-,6,-,-,-,-
PISTOL R,-,-,-,-,-,-,-,-,-,-,-,-
ROCK CR (LANE CO),-,-,-,-,-,-,-,6,-,-,-,-
ROCK CR (NEHALEM),-,-,-,-,-,-,5,-,-,-,-,-
ROCK CR (SILETZ R),-,-,-,-,-,-,-,-,-,-,-,-
SOAPSTONE CR,-,-,-,-,-,-,-,-,-,-,-,-
LOWER ROGUE RIVER & BAY,-,-,-,-,-,-,-,6,-,-,-,-
SALMON R (COAST),892,77,25,42,50,49,100,36,39,69,20,-
SALMONBERRY R,-,-,-,-,-,-,-,-,-,-,-,-
SAND LAKE,-,-,-,-,-,-,-,-,-,-,-,-
SCHOONER CR (SILETZ R),-,-,-,-,-,-,-,-,-,-,-,-
SILETZ R & BAY,-,42,255,750,292,426,2705,770,58,50,51,-
N FK SILETZ,-,-,-,-,-,-,-,12,-,-,-,-
S FK SILETZ,-,-,-,-,-,-,-,6,-,-,-,-
SILTCOOS R & LK,653,580,881,1032,1118,981,1728,444,948,688,358,-
SIUSLAW R & BAY,94,73,81,1248,1168,2527,8410,2439,78,303,174,-
N FK SIUSLAW,-,-,-,-,-,9,10,6,-,-,-,-
SIXES R,4,23,7,3,-,4,25,12,-,-,-,-
SLICK ROCK CR (SALMON R),-,-,-,-,-,-,-,6,-,6,-,-
SMITH R,-,-,-,10,-,4,30,24,-,19,10,-
N FK SMITH,-,-,-,-,-,-,-,-,6,-,-,-
SUTTON CR & LK,-,-,-,-,-,-,10,12,-,6,-,-
SWEET CR (SIUSLAW R),-,-,-,-,-,-,-,-,-,-,-,-
TAHKENITCH CR & LK,153,173,318,105,434,369,501,213,260,202,266,-
TENMILE CR & LK (COOS CO),-,-,-,-,17,84,426,6,-,50,31,-
TENMILE CR (LANE CO),-,-,-,-,-,-,130,18,32,19,20,-
THREE R,-,-,-,-,-,-,-,12,52,13,-,-
TILLAMOOK BAY,258,495,361,858,271,524,2625,1048,961,316,112,-
TILLAMOOK R,35,12,14,35,29,62,65,12,13,13,-,-
TRASK R,59,42,35,70,21,89,255,83,149,32,10,-
N FK TRASK,-,-,-,-,-,-,-,6,-,-,-,-
S FK TRASK,-,-,-,-,-,-,-,12,-,-,-,-
UMPQUA R & BAY,1244,1305,969,1841,1906,1838,4067,4074,591,2316,1686,-
N FK UMPQUA BELOW WINCHESTER,4,54,7,3,-,9,20,-,19,19,20,-
S FK UMPQUA,8,4,4,45,21,4,15,24,-,6,31,-
WILSON R,16,50,21,31,33,58,115,24,6,13,-,-
S FK. WILSON R.,-,-,-,-,-,-,-,12,-,-,10,-
LITTLE N FK (WILSON),-,-,-,-,-,-,-,18,-,-,-,-
WINCHUCK R,-,-,-,-,-,-,5,-,13,6,-,-
WOAHINK LK,-,-,-,-,-,-,5,-,-,-,-,-
YACHATS R,-,-,-,-,-,-,-,12,6,-,-,-
YAQUINA R & BAY,35,818,42,934,405,631,2535,705,19,13,-,-
TIOGA CR,-,-,-,-,-,-,-,-,-,-,-,-
N FK UMPQUA-WINCHESTER DAM TO,12,69,18,14,42,4,20,30,19,6,-,-
NEHALEM R ABOVE HWY 26/ELSIE,-,23,4,7,-,13,10,-,-,19,10,-
CALAPOOYA CR (UMPQUA R),-,-,-,-,-,-,-,-,-,-,-,-
LITTLE R (N UMPQUA R),-,-,-,-,-,-,-,-,-,-,-,-
N FK UMPQUA FROM ROCK CR TO,12,27,4,3,-,-,35,30,-,-,10,-
NESKOWIN CR,-,-,-,-,-,4,5,30,-,-,-,-
ROGUE BAY UP TO ELEPHANT ROCK,239,326,212,296,304,266,276,616,324,309,225,-
ROGUE R FROM ELEPHANT ROCK TO,47,46,60,105,42,98,30,65,32,120,51,-
ROGUE R FROM GRAVE CR TO GOLD,16,15,18,17,29,22,25,30,39,25,41,-
ROGUE R ABOVE GOLD RAY DAM,12,4,42,31,58,49,95,41,39,44,20,-
ISTHMUS SLOUGH,16,-,4,21,17,4,20,-,6,19,-,-
ABERNATHY CR (CLACK R),-,-,-,-,-,4,5,18,6,13,10,-
ABIQUA CR (PUDDING R),-,-,-,-,-,-,-,12,-,-,41,-
BEAR CR (CLATSOP CO),4,-,-,-,-,-,-,-,-,6,-,-
BEAVER CR (COL CO),-,-,-,-,-,-,-,-,-,-,-,-
BIG CR (CLATSOP CO),258,372,184,94,46,120,601,130,71,88,123,-
BULLRUN R,-,-,-,-,-,-,-,-,-,-,-,-
BUTTE CR (PUDDING R),-,-,-,-,-,-,-,12,-,-,-,-
CALAPOOIA R,-,-,-,-,-,-,5,-,-,-,-,-
CATHERINE CR,-,-,-,-,-,-,-,-,-,-,-,-
CHENOWETH CR,-,-,-,-,-,-,-,6,6,6,-,-
CLACKAMAS R BELOW CARVER,1447,1712,350,143,63,222,1678,89,117,240,317,-
CLATSKANIE R,12,4,18,-,-,-,5,6,-,-,-,-
CLEAR CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
COLLOWASH RIVER,-,-,-,-,-,-,-,6,-,-,-,-
HOT SP FK COLLOWASH RV,-,-,-,-,-,-,-,-,-,-,-,-
LOWER COLUMBIA RIVER,-,-,-,-,-,-,-,-,-,-,-,-
UPPER COLUMBIA RIVER,-,-,-,-,-,-,-,-,-,-,-,-
CRABTREE CR (SANTIAM R),-,-,-,-,-,-,-,-,-,-,-,-
DEEP CR (CLACK R),-,-,-,-,-,-,-,-,-,-,-,-
DESCHUTES R BELOW SHERARS,12,8,32,31,75,80,125,71,52,114,112,-
,,,,,,,,,,,,
EAGLE CR (CLACK R),1103,1144,509,87,13,200,1678,172,279,341,112,-
EAGLE CR (COLUMBIA R),31,-,32,-,-,4,-,-,6,6,-,-
FALL CR (WILLAMETTE R),-,-,-,-,-,-,-,-,-,-,-,-
FIFTEEN MILE CR,-,-,-,-,-,-,-,-,6,-,-,-
FOSTER RESERVOIR,-,-,-,-,-,-,-,6,6,-,10,-
GALES CR (TUALATIN R),-,-,-,-,-,-,-,-,-,-,-,-
GNAT CR,8,-,11,7,-,13,35,24,19,-,10,-
MOSBY CR. (WILL R CST FK),-,-,-,-,-,-,-,-,-,-,-,-
HERMAN CR (COL R),23,92,46,3,8,4,80,53,6,13,-,-
LOST CR (WILL R MID FK),-,-,-,-,-,-,-,-,-,-,-,-
E FK HOOD,-,-,-,-,-,-,-,-,-,-,-,-
W FK HOOD,-,-,-,-,-,-,-,-,-,-,-,-
IMNAHA R,-,-,-,-,-,-,-,6,-,-,-,-
JOHN DAY R,-,-,-,-,-,-,-,-,-,6,-,-
MID FK JOHN DAY,-,-,-,-,-,-,15,-,-,6,-,-
N FK JOHN DAY,-,-,-,-,-,-,-,-,-,-,-,-
JOHNSON CR (WILL R),-,-,-,-,-,-,-,-,-,-,-,-
KNAPPA/BLIND SLOUGHS,-,-,-,10,4,4,110,36,19,189,-,-
KLASKANINE R,31,23,18,42,29,-,55,107,19,25,20,-
N FK KLASKANINE,-,4,4,10,-,13,15,36,6,6,10,-
S FK KLASKANINE,-,-,-,-,-,-,105,-,-,-,-,-
LEWIS & CLARK R,-,-,7,3,4,-,25,65,-,25,-,-
MCKENZIE R (BELOW LEABURG DAM),-,-,-,-,-,-,-,12,-,-,-,-
LUCKIAMUTE & LITTLE LUCKIAMUTE,-,-,-,-,-,-,-,-,-,-,-,-
MARYS R,-,-,-,-,-,-,-,-,-,-,-,-
MCKENZIE R (ABOVE LEABURG DAM),-,-,-,-,-,-,-,-,-,-,-,-
MILL CR (MARION CO),-,-,-,-,-,-,-,-,-,-,-,-
MILL CR (WASCO CO),-,-,-,-,-,-,-,-,-,-,-,-
MILL CR (YAMHILL CO),-,-,-,-,-,-,-,6,-,-,-,-
MILTON CR (COL CO),8,-,-,-,-,-,-,-,-,-,10,-
MINAM RIVER,-,-,-,-,-,-,-,-,-,-,-,-
MOLALLA R,-,-,-,-,-,13,-,-,13,-,-,-
RICKREALL CR,-,-,21,3,4,-,5,-,32,6,-,-
PUDDING R,-,-,-,-,-,-,-,-,6,-,-,-
SALMON R (SANDY R),12,-,-,-,-,-,-,-,6,-,10,-
SANDY R FROM MOUTH TO REVENUE,7000,5167,3951,1572,271,644,3852,853,740,915,450,-
SANTIAM R,-,-,-,-,-,-,10,-,6,-,-,-
N FK SANTIAM,-,-,7,-,25,80,70,18,6,-,-,-
LITTLE N FK SANTIAM,-,-,-,-,-,-,-,-,-,-,-,-
S FK SANTIAM,-,-,-,-,-,-,-,6,-,13,20,-
SCAPPOOSE CR,-,-,-,-,-,-,-,-,-,-,-,-
N FK SCAPPOOSE,-,-,-,-,-,-,-,-,-,-,-,-
S FK SCAPPOOSE,-,-,-,-,-,-,-,-,-,-,-,-
SNAKE R,-,-,-,-,-,-,-,-,-,-,-,-
SUCKER CR,-,-,-,-,-,-,-,-,-,-,-,-
TANNER CR,-,-,-,-,-,-,-,6,6,-,-,-
THOMAS CR (SANT),-,-,-,-,-,-,-,-,-,-,-,-
TUALATIN R,-,8,-,-,-,-,5,-,6,-,-,-
UMATILLA R,-,-,-,-,-,-,20,-,-,-,-,-
WALLA WALLA R,-,-,-,-,-,-,-,6,-,19,-,-
SPRINGFIELD MILL RACE,-,-,-,-,-,-,-,-,-,-,-,-
WENAHA R,-,-,-,-,-,-,-,-,-,-,-,-
WILLAMETTE R & SLOUGH BELOW OR,168,173,74,126,54,40,411,77,84,183,20,-
WILLAMETTE R ABOVE OR CITY,301,514,318,443,455,435,661,201,97,259,521,-
ALTON BAKER CANOE CANAL,-,-,-,-,-,-,-,-,-,6,-,-
MID FK WILL,-,-,-,-,-,-,10,-,13,-,-,-
WILLAMINA CR,-,-,-,-,-,-,-,-,-,-,-,-
YAMHILL R,-,-,-,-,-,18,-,18,-,13,-,-
N FK YAMHILL,-,-,-,-,-,9,-,-,-,-,-,-
S FK YAMHILL,-,-,-,-,-,-,-,-,-,6,-,-
YOUNGS R & BAY,-,19,32,42,13,31,25,65,97,-,-,-
SILVER CR,-,-,-,-,-,-,-,-,-,-,-,-
PLYMPTON CR,-,-,-,-,-,-,-,-,-,-,-,-
UPPER ROGUE RIVER,-,-,-,-,-,-,-,-,-,-,-,-
CLACKAMAS R SYSTEM ABOVE NO,-,4,-,-,-,-,-,-,-,-,-,-
DESCHUTES R ABOVE SHERARS,-,-,-,-,-,-,-,-,-,6,-,-
SANDY R FROM REVENUE BRIDGE TO,-,-,127,21,8,4,120,65,45,38,61,-
JOHN DAY ARM,-,-,-,-,-,-,-,-,-,-,-,-
L FALL CR (WILLAMETTE),-,-,-,-,-,-,-,-,-,6,-,-
COAST FK WILL,-,-,-,-,-,-,40,24,52,88,10,-
COLUMBIA R--BUOY 10 TO TONGUE,4790,33370,6762,6439,5513,6474,49691,28420,6444,12350,4383,-
COLUMBIA R--TONGUE PT TO,508,1424,513,704,530,502,2600,657,324,511,327,-
COLUMBIA R--I-5 BRIDGE TO,946,1271,499,492,196,315,1703,486,214,694,82,-
COLUMBIA R--BONNEVILLE DAM TO,1048,1885,1047,854,676,1554,3526,296,435,1281,10,-
COLUMBIA R--THE DALLES DAM TO,215,234,170,683,238,222,686,201,305,240,51,-
COLUMBIA R--JOHN DAY DAM TO,168,591,124,185,142,155,521,278,435,265,41,-
COLUMBIA R--MCNARY DAM TO,16,81,18,35,25,22,175,59,26,38,-,-
LONG TOM,-,-,-,-,-,-,-,-,-,-,-,-
ROW R,-,-,-,-,-,-,5,12,6,-,-,-
WILEY CR (S SANTIAM),-,-,-,-,-,-,-,-,-,-,-,-
BLUE R (MCKENZIE),-,-,-,-,-,-,-,-,-,-,-,-
HOOD R,-,8,18,-,-,4,5,6,-,-,-,-
HOOD R ABOVE POWERDALE DAM,4,42,4,-,-,-,-,-,-,-,-,-
GRANDE RONDE R FROM STATELINE,-,-,-,-,-,-,-,6,6,-,-,-
GRANDE RONDE R FROM WILDCAT,-,-,-,-,-,-,-,-,-,-,20,-
GRANDE RONDE R ABOVE ISLAND,-,-,-,-,-,-,-,-,-,-,-,-
WALLOWA R MOUTH TO MINAM,-,-,-,-,-,-,-,-,-,19,-,-
WALLOWA R ABOVE MINAM STATE,-,-,-,-,-,-,-,6,19,6,-,-
UMATILLA R BELOW THREE-MILE,461,656,88,254,150,191,1493,213,136,202,143,-
UMATILLA R ABOVE NOLIN,109,123,28,14,13,4,20,-,-,19,-,-
JOHN DAY R BELOW COTTONWOOD,-,19,-,-,-,22,-,-,19,-,20,-
JOHN DAY R ABOVE COTTONWOOD,-,-,-,-,-,-,-,12,-,-,10,-
LOOKINGGLASS CR,-,-,-,-,-,-,-,-,-,-,10,-
POWDER R,-,-,-,-,-,-,-,-,-,-,-,-
UMATILLA R THREE-MILE DAM TO,8,54,39,35,4,18,35,12,6,6,-,-
SANDY R ABOVE SALMON R,-,-,-,-,-,-,-,18,-,-,-,-
CLACK R.-CARVER BR. TO BAKERS,-,-,-,35,67,18,286,101,58,278,204,-
CLACK R-BAKERS FERRY RD TO RVR,-,-,4,21,79,31,1057,178,71,259,153,-
CLACK R-RIVER MILL DAM TO,-,-,-,-,-,-,-,12,13,-,41,-
JOHN DAY R (CLATSOP CTY),-,-,-,-,-,-,-,-,19,-,-,-
